Target,Foil1,Foil2,SNRcorrection
bagObag,bagMmag,bagVpag,-3
bathObath,bathMwath,bathPdath,-4
bedObed,bedMmed,bedVped,-3
biteObite,bitePdite,biteVpite,-5
boatOboat,boatMwoat,boatVpoat,-1
bookObook,bookMwook,bookVpook,0
bootOboot,bootMwoot,bootVpoot,5
cakeOcake,cakePpake,cakeVgake,3
chairOchair,chairMsair,chairVdjair,0
combOcomb,combPpomb,combVgomb,9
coughOcough,coughPpough,coughVgough,18
cowOcow,cowPtow,cowVgow,0
digOdig,digMnig,digVtig,-3
fallOfall,fallPsall,fallVvall,0
fishOfish,fishPhish,fishVvish,1
fiveOfive,fivePshive,fiveVvive,4
footOfoot,footPhoot,footVvoot,4
forkOfork,forkPsork,forkVvork,4
kiteOkite,kitePpite,kiteVgite,5
knifeOknife,knifeMdife,knifePmife,0
leafOleaf,leafMneaf,leafPweaf,2
roadOroad,roadMzoad,roadPyoad,-2
singOsing,singMting,singPshing,-13
soapOsoap,soapPfoap,soapVzoap,2
suckOsuck,suckPhuck,suckVzuck,-8
thumbOthumb,thumbPshumb,thumbVdhumb,3
towelOtowel,towelMsowel,towelPpowel,-5
washOwash,washMbash,washPrash,-5
